"","Data Series","Total Merchandise Imports"
"...462","1986 Sep","4601977"
"...463","1986 Aug","4816308"
"...464","1986 Jul","4491144"
"...465","1986 Jun","4467418"
"...466","1986 May","4335254"
"...467","1986 Apr","4613095"
"...468","1986 Mar","4787314"
"...469","1986 Feb","4183673"
"...470","1986 Jan","4472337"
"...471","1985 Dec","4658699"
"...472","1985 Nov","4567826"
"...473","1985 Oct","4830563"
"...474","1985 Sep","4661139"
"...475","1985 Aug","4634948"
"...476","1985 Jul","4505947"
"...477","1985 Jun","4683737"
"...478","1985 May","4843832"
"...479","1985 Apr","5118133"
"...480","1985 Mar","5012976"
"...481","1985 Feb","4744192"
"...482","1985 Jan","5555553"
"...483","1984 Dec","4485253"
"...484","1984 Nov","5888685"
"...485","1984 Oct","5224181"
"...486","1984 Sep","4607949"
"...487","1984 Aug","4959779"
"...488","1984 Jul","5587835"
"...489","1984 Jun","5158092"
"...490","1984 May","5449376"
"...491","1984 Apr","4704522"
"...492","1984 Mar","5179362"
"...493","1984 Feb","4356968"
"...494","1984 Jan","5531613"
"...495","1983 Dec","4854182"
"...496","1983 Nov","5231031"
"...497","1983 Oct","4837197"
"...498","1983 Sep","4772244"
"...499","1983 Aug","5116032"
"...500","1983 Jul","5045172"
"...501","1983 Jun","5251715"
"...502","1983 May","4799308"
"...503","1983 Apr","5316575"
"...504","1983 Mar","4921836"
"...505","1983 Feb","4272017"
"...506","1983 Jan","5086907"
"...507","1982 Dec","4911003"
"...508","1982 Nov","4828021"
"...509","1982 Oct","5271758"
"...510","1982 Sep","4917847"
"...511","1982 Aug","4878895"
"...512","1982 Jul","5136811"
"...513","1982 Jun","4678344"
"...514","1982 May","5274497"
"...515","1982 Apr","5027263"
"...516","1982 Mar","5425186"
"...517","1982 Feb","4773926"
"...518","1982 Jan","5121028"
"...519","1981 Dec","4992982"
"...520","1981 Nov","4389186"
"...521","1981 Oct","5069083"
"...522","1981 Sep","4759595"
"...523","1981 Aug","4897741"
"...524","1981 Jul","5416758"
"...525","1981 Jun","4601529"
"...526","1981 May","4856759"
"...527","1981 Apr","5247435"
"...528","1981 Mar","4904126"
"...529","1981 Feb","3659930"
"...530","1981 Jan","5452863"
"...531","1980 Dec","4191641"
"...532","1980 Nov","4599084"
"...533","1980 Oct","4612468"
"...534","1980 Sep","4531820"
"...535","1980 Aug","4364383"
"...536","1980 Jul","4610652"
"...537","1980 Jun","4098498"
"...538","1980 May","4237842"
"...539","1980 Apr","4315873"
"...540","1980 Mar","4202221"
"...541","1980 Feb","3502180"
"...542","1980 Jan","4078139"
"...543","1979 Dec","3642324"
"...544","1979 Nov","3738350"
"...545","1979 Oct","3372278"
"...546","1979 Sep","3577580"
"...547","1979 Aug","3721574"
"...548","1979 Jul","3218006"
"...549","1979 Jun","3142256"
"...550","1979 May","2913750"
"...551","1979 Apr","3045825"
"...552","1979 Mar","2752707"
"...553","1979 Feb","2626946"
"...554","1979 Jan","2582839"
"...555","1978 Dec","2547478"
"...556","1978 Nov","2745432"
"...557","1978 Oct","2798935"
"...558","1978 Sep","2554868"
"...559","1978 Aug","2481368"
"...560","1978 Jul","2615635"
"...561","1978 Jun","2501433"
"...562","1978 May","2215850"
"...563","1978 Apr","2382858"
"...564","1978 Mar","2322589"
"...565","1978 Feb","1981827"
"...566","1978 Jan","2452995"
"...567","1977 Dec","2294083"
"...568","1977 Nov","2198247"
"...569","1977 Oct","2310012"
"...570","1977 Sep","2281914"
"...571","1977 Aug","2284007"
"...572","1977 Jul","2157969"
"...573","1977 Jun","2110733"
"...574","1977 May","1885165"
"...575","1977 Apr","2147915"
"...576","1977 Mar","2006173"
"...577","1977 Feb","1744500"
"...578","1977 Jan","2101234"
"...579","1976 Dec","2015063"
"...580","1976 Nov","1987480"
"...581","1976 Oct","2036515"
"...582","1976 Sep","1941390"
"...583","1976 Aug","2056156"
"...584","1976 Jul","2041452"
"...585","1976 Jun","1649796"
"...586","1976 May","1462480"
"...587","1976 Apr","1942837"
"...588","1976 Mar","1781336"
"...589","1976 Feb","1658989"
"...590","1976 Jan","1830979"
