"","Data Series","Total Electronic Products","Integrated Circuits","Parts Of Personal Computer","Disk Drives","Telecommunications Equipment","Consumer Electronics","Personal Computers","Parts Of Integrated Circuits","Diodes And Transistors","Non-Electronic Products","Electrical Circuit Apparatus","Electrical Machinery & Apparatus Nes"
"...115","2015 Jul","10073104.4","6596720.9","711914.8","220957.7","883742.1","211408.5","267580.5","181822.8","651970.6","3802845.4","348757.4","420050.4"
"...116","2015 Jun","9575270.5","6110234.9","706077.4","238707.6","920954.2","209412.1","276119.8","172988.1","608473.6","3891174.3","304983.9","418591.9"
"...117","2015 May","9477816.9","6373901.3","630135","182026.1","861805.6","182166.2","268414.9","138125.1","553193.3","3641929.2","285548.7","398769.9"
"...118","2015 Apr","10242950","6769099.7","737940.3","217258.1","1039695.3","203417.8","244972","156995.7","567965.8","3931479","350752.7","401401.5"
"...119","2015 Mar","10203213.2","6508446.8","777311.3","238277.2","1075844.3","219315.4","272114.7","133086.6","622906.6","4255716.7","342346.1","465780.9"
"...120","2015 Feb","8729792.2","5676763.4","591418.8","186972.2","964016.9","188480.1","173141","181435.6","496855.6","3226564.6","236463.3","369899.5"
"...121","2015 Jan","11380410.7","7769678.4","755968.3","212017.7","1093981.4","228467.9","264346.2","166273.3","572230.3","3842367.6","311107.4","400987.3"
"...122","2014 Dec","10327277.3","6801783.7","694410.4","219325.7","1020765.2","241884.5","254230.1","173007.9","559342.2","4013237.7","313022.7","406510.6"
"...123","2014 Nov","10060719.3","6703969.3","677232.4","204127.4","915237.1","240458.2","239595.6","201158.8","571829","3896980.9","277196.5","387204.7"
"...124","2014 Oct","10485078.8","7006297.1","709187.6","248254.9","926417.8","254728.9","215281.7","244686.3","543974.7","3702239.2","311351.3","413348.3"
"...125","2014 Sep","10254504.8","7029936.9","623050.4","210327","721126","254647.5","222501.1","288473.7","564387.3","4227474.4","332426.6","369090.8"
"...126","2014 Aug","9005646.9","5728511.3","615666.5","184318.8","702556.7","241973","198452.3","384697.8","567122.4","3727681.2","324897.2","378683.5"
"...127","2014 Jul","9514937.7","6132581.9","854115.7","169015.3","727943.4","242980.4","202561.6","289392.2","581855","3536006.1","324463.6","315674.9"
"...128","2014 Jun","9693345.3","6430840.9","660392.3","193646.4","828734.3","248546.7","226195.4","239561.6","536678.4","3931042.6","304885.9","318797.4"
"...129","2014 May","9758979.9","6499477.2","632716.9","174790.8","765345.4","257521.8","244988.9","248808.5","612913.1","3879661.6","324164.7","332556.2"
"...130","2014 Apr","10676318.6","7130265.4","830619.7","195038.6","736047.5","245457","244502.8","337259.3","640514.9","4053813.3","328935.4","361122.7"
"...131","2014 Mar","10355095","7048737.4","695842.4","177036.2","745216.7","243926.3","275404.2","312270.9","523767.9","4118327.9","354935.2","336740.5"
"...132","2014 Feb","8377588","5502077.8","596103.2","152460.8","657223.2","226148.2","238595","249617.3","471006","3293249.4","301649.4","262091.6"
"...133","2014 Jan","9236138.5","5935690.7","650124.3","152091.9","843388.6","227005.1","311555.8","320493","498021.5","3693680.1","319734.7","267619.9"
"...134","2013 Dec","9327759.6","5775682.1","708923.8","166283.4","803050.4","261619.5","317490.4","269590.1","469483.8","3723707.6","304433.2","261248.9"
"...135","2013 Nov","9514691.8","6190900.8","818004.2","189586.6","751253","266445.8","204644.7","295296.1","479143.8","4132783.3","315365.8","323055.9"
"...136","2013 Oct","11148197.1","7666850.9","771929.4","194780.8","787373.6","257587.7","223278","429768.1","498737.4","4067253.1","346994.7","323948.7"
"...137","2013 Sep","10344845.2","7193506.2","754851.7","178657.1","662506.1","248960","247392.7","288687.9","434258.7","3867563.7","334711.7","353008.4"
"...138","2013 Aug","9829947.4","6699119.3","763561.9","165626.4","704108.8","236479.9","202213.3","291736.4","439141","3824075.7","304039.8","305215.2"
"...139","2013 Jul","9551148.6","6034346.1","768073.4","191951.2","870587.2","268030.6","272787","311463.8","494043.1","3844671.2","345178.8","347364"
"...140","2013 Jun","9124886.9","5798125.2","728175.9","183054.3","927073.6","239352.2","231641.8","289723.3","423193.2","3450219.7","311223.1","321554.5"
